dediac	original_gold	max_gold	max_gold_alt
الأمريكي	الْأَمْرِيكِيِّ	الْأَمْرِيكِيِّ	
ب	بِ	بِ	
10	10	10	
ترشيحات	تَرْشِيحَاتٍ	تَرْشِيحَاتٍ	
لكل	لِكُلٍّ	لِكُلٍّ	
منهما	مِنْهُمَا	مِنْهُمَا	
.	.	.	
وسيقام	وَسَيُقَامُ	وَسَيُقَامُ	
حفل	حَفْلُ	حَفْلُ	
توزيع	تَوْزِيعِ	تَوْزِيعِ	
الجوائز	الْجَوَائِزِ	الْجَوَائِزِ	
على	عَلَى	عَلَى	
الفائزين	الْفَائِزِينَ	الْفَائِزِينَ	
في	فِي	فِي	
16	16	16	
فبراير	فِبْرَايِرَ	فِبْرَايِرَ	
2014	2014	2014	
في	فِي	فِي	
دار	دَارِ	دَارِ	
الأوبرا	الْأُوبِرَا	الْأُوبِرَا	
الملكية	الْمَلَكِيَّةِ	الْمَلَكِيَّةِ	
في	فِي	فِي	
لندن	لَنْدَنْ	لَنْدَنْ	
.	.	.	
			
اختتام	اخْتِتَامُ	اِخْتِتَامُ	
مؤتمر	مُؤْتَمَرِ	مُؤْتَمَرِ	
ويكيمانيا	وِيكِيمَانْيَا	وِيكِيمَانْيَا	
2013	2013	2013	
في	فِي	فِي	
هونغ	هُونْغْ	هُونْغْ	
كونغ	كُونْغْ	كُونْغْ	
			
اختتمت	اخْتُتِمَتْ	اُخْتُتِمَتْ	
في	فِي	فِي	
مساء	مَسَاءِ	مَسَاءِ	
يوم	يَوْمِ	يَوْمِ	
الأحد	الْأَحَدِ	الْأَحَدِ	
الفائت	الْفَائِتِ	الْفَائِتِ	
الحادي	الْحَادِي	الْحَادِي	
عشر	عَشَرَ	عَشَرَ	
من	مِنْ	مِنْ	
أغسطس	أُغُسْطُسَ	أُغُسْطُسَ	
فعاليات	فَعَالِيَّاتُ	فَعَالِيَّاتُ	
مؤتمر	مُؤْتَمَرِ	مُؤْتَمَرِ	
ويكيمانيا	وِيكِيمَانْيَا	وِيكِيمَانْيَا	
لعام	لِعَامِ	لِعَامِ	
2013	2013	2013	
في	فِي	فِي	
هونغ	هُونْغْ	هُونْغْ	
كونغ	كُونْغْ	كُونْغْ	
،	،	،	
بعد	بَعْدَ	بَعْدَ	
خمسة	خَمْسَةِ	خَمْسَةِ	
أيام	أَيَّامٍ	أَيَّامٍ	
من	مِنْ	مِنَ	
المحاضرات	الْمُحَاضَرَاتِ	الْمُحَاضَرَاتِ	
والورشات	وَالْوَرْشَاتِ	وَالْوَرْشَاتِ	
والنقاشات	وَالنِّقَاشَاتِ	وَالنِّقَاشَاتِ	
المختلفة	الْمُخْتَلِفَةِ	الْمُخْتَلِفَةِ	
عن	عَنْ	عَنْ	
حركة	حَرَكَةِ	حَرَكَةِ	
ويكيميديا	وِيكِيمِيدْيَا	وِيكِيمِيدْيَا	
ومشاريعها	وَمَشَارِيعِهَا	وَمَشَارِيعِهَا	
التي	الَّتِي	الَّتِي	
كانت	كَانَتْ	كَانَتِ	
الأكثر	الْأَكْثَرَ	الْأَكْثَرَ	
شهرة	شُهْرَةً	شُهْرَةً	
منها	مِنْهَا	مِنْهَا	
موسوعة	مَوْسُوعَةُ	مَوْسُوعَةُ	
ويكيبيديا	وِيكِيبِيدْيَا	وِيكِيبِيدْيَا	
،	،	،	
لينتهي	لِيَنْتَهِيَ	لِيَنْتَهِيَ	
بذلك	بِذَلِكَ	بِذَٰلِكَ	
العام	الْعَامُ	الْعَامُ	
التاسع	التَّاسِعُ	التَّاسِعُ	
على	عَلَى	عَلَى	
التوالي	التَّوَالِي	التَّوَالِي	
لمؤتمر	لِمُؤْتَمَرِ	لِمُؤْتَمَرِ	
ويكيمانيا	وِيكِيمَانْيَا	وِيكِيمَانْيَا	
السنوي	السَّنَوِيِّ	السَّنَوِيِّ	
.	.	.	
			
وكان	وَكَانَ	وَكَانَ	
المؤتمر	الْمُؤْتَمَرُ	الْمُؤْتَمَرُ	
،	،	،	
التاسع	التَّاسِعَ	اَلتَّاسِعَ	
من	مِنْ	مِنْ	
نوعه	نَوْعِهِ	نَوْعِهِ	
عالميا	عَالَمِيًّا	عَالَمِيًّا	
والذي	وَالَّذِي	وَالَّذِي	
يعد	يُعَدُّ	يُعَدُّ	
أكبر	أَكْبَرَ	أَكْبَرَ	
مؤتمر	مُؤْتَمَرٍ	مُؤْتَمَرٍ	
لحركة	لِحَرَكَةِ	لِحَرَكَةِ	
ويكيميديا	وِيكِيمِيدْيَا	وِيكِيمِيدْيَا	
للمحتوى	لِلْمُحْتَوَى	لِلْمُحْتَوَى	
الحر	الْحُرِّ	الْحُرِّ	
في	فِي	فِي	
العالم	الْعَالَمِ	الْعَالَمِ	
،	،	،	
قد	قَدْ	قَدْ	
بدأ	بَدَأَ	بَدَأَ	
في	فِي	فِي	
يوم	يَوْمِ	يَوْمِ	
الأربعاء	الْأَرْبِعَاءِ	الْأَرْبِعَاءِ	
السابع	السَّابِعِ	السَّابِعِ	
من	مِنْ	مِنْ	
أغسطس	أُغُسْطُسَ	أُغُسْطُسَ	
بمرحلته	بِمَرْحَلَتِهِ	بِمَرْحَلَتِهِ	
التمهيدية	التَّمْهِيدِيَّةِ	التَّمْهِيدِيَّةِ	
،	،	،	
حيث	حَيْثُ	حَيْثُ	
شمل	شَمِلَ	شَمِلَ	
عددا	عَدَدًا	عَدَدًا	
من	مِنْ	مِنَ	
المحاضرات	الْمُحَاضَرَاتِ	الْمُحَاضَرَاتِ	
والورشات	وَالْوَرْشَاتِ	وَالْوَرْشَاتِ	
غير	غَيْرِ	غَيْرِ	
الرسمية	الرَّسْمِيَّةِ	الرَّسْمِيَّةِ	
،	،	،	
أهمها	أَهَمُّهَا	أَهَمُّهَا	
ورشات	وَرْشَاتُ	وَرْشَاتُ	
ال	الْ	الْ	
"	"	"	
Devcamp	Devcamp	Devcamp	
"	"	"	
المتخصصة	الْمُتَخَصِّصَةُ	اَلْمُتَخَصِّصَةُ	
بتعليم	بِتَعْلِيمِ	بِتَعْلِيمِ	
وممارسة	وَمُمَارَسَةِ	وَمُمَارَسَةِ	
الأعمال	الْأَعْمَالِ	الْأَعْمَالِ	
التقنية	التِّقْنِيَّةِ	التِّقْنِيَّةِ	التَّقْنِيَّةِ
لبرمجة	لِبَرْمَجَةِ	لِبَرْمَجَةِ	
أدوات	أَدَوَاتِ	أَدَوَاتِ	
مواقع	مَوَاقِعِ	مَوَاقِعِ	
الويكي	الْوِيكِي	الْوِيكِي	
بلغة	بِلُغَةِ	بِلُغَةِ	
البايثون	الْبَايْثُونْ	الْبَايْثُونْ	
،	،	،	
وتطوير	وَتَطْوِيرِ	وَتَطْوِيرِ	
المميزات	الْمُمَيِّزَاتِ	الْمُمَيِّزَاتِ	
الجديدة	الْجَدِيدَةِ	الْجَدِيدَةِ	
لإضافتها	لِإِضَافَتِهَا	لِإِضَافَتِهَا	
إلى	إِلَى	إِلَى	
هذه	هَذِهِ	هَٰذِهِ	
المواقع	الْمَوَاقِعِ	الْمَوَاقِعِ	
على	عَلَى	عَلَى	
Wikimedia	Wikimedia	Wikimedia	
labs	labs	labs	
(	(	(	
مختبرات	مُخْتَبَرَاتِ	مُخْتَبَرَاتِ	
ويكيميديا	وِيكِيمِيدْيَا	وِيكِيمِيدْيَا	
)	)	)	
،	،	،	
وهي	وَهِيَ	وَهِيَ	
موقع	مَوْقِعٌ	مَوْقِعٌ	
مخصص	مُخَصَّصٌ	مُخَصَّصٌ	
لاختبار	لِاخْتِبَارِ	لِاخْتِبَارِ	
وتجربة	وَتَجْرِبَةِ	وَتَجْرِبَةِ	
أدوات	أَدَوَاتِ	أَدَوَاتِ	
الويكي	الْوِيكِي	الْوِيكِي	
الجديدة	الْجَدِيدَةِ	الْجَدِيدَةِ	
قبل	قَبْلَ	قَبْلَ	
تعميمها	تَعْمِيمِهَا	تَعْمِيمِهَا	
على	عَلَى	عَلَى	
مشاريع	مَشَارِيعِ	مَشَارِيعِ	
ويكيميديا	وِيكِيمِيدْيَا	وِيكِيمِيدْيَا	
.	.	.	
كما	كَمَا	كَمَا	
شملت	شَمِلَتْ	شَمِلَتِ	
الأيام	الْأَيَّامُ	الْأَيَّامُ	
التمهيدية	التَّمْهِيدِيَّةُ	التَّمْهِيدِيَّةُ	
لقاءات	لِقَاءَاتٍ	لِقَاءَاتٍ	
ومناقشات	وَمُنَاقَشَاتٍ	وَمُنَاقَشَاتٍ	
متعلقة	مُتَعَلِّقَةً	مُتَعَلِّقَةً	
بفروع	بِفُرُوعِ	بِفُرُوعِ	
ويكيميديا	وِيكِيمِيدْيَا	وِيكِيمِيدْيَا	
(	(	(	
Wikimedia	Wikimedia	Wikimedia	
Chapters	Chapters	Chapters	
)	)	)	
،	،	،	
وهي	وَهِيَ	وَهِيَ	
أشبه	أَشْبَهُ	أَشْبَهُ	
بمنظمات	بِمُنَظَّمَاتٍ	بِمُنَظَّمَاتٍ	
أو	أَوْ	أَوْ	
جمعيات	جَمْعِيَّاتٍ	جَمْعِيَّاتٍ	
ويكيميدية	وِيكِيمِيدِيَّةٍ	وِيكِيمِيدِيَّةٍ	
محلية	مَحَلِّيَّةٍ	مَحَلِّيَّةٍ	
يديرها	يُدِيرُهَا	يُدِيرُهَا	
متطوعو	مُتَطَوِّعُو	مُتَطَوِّعُو	
مشاريع	مَشَارِيعِ	مَشَارِيعِ	
الويكي	الْوِيكِي	الْوِيكِي	
في	فِي	فِي	
البلدان	الْبُلْدَانِ	الْبُلْدَانِ	
المختلفة	الْمُخْتَلِفَةِ	الْمُخْتَلِفَةِ	
.	.	.	
			
وقد	وَقَدْ	وَقَدْ	
ظهر	ظَهَرَ	ظَهَرَ	
جيمي	جِيمِي	جِيمِي	
ويلز	وِيلْزْ	وِيلْزْ	
،	،	،	
مؤسس	مُؤَسِّسُ	مُؤَسِّسُ	
ويكيبيديا	وِيكِيبِيدْيَا	وِيكِيبِيدْيَا	
،	،	،	
للمرة	لِلْمَرَّةِ	لِلْمَرَّةِ	
الأولى	الْأُولَى	الْأُولَى	
في	فِي	فِي	
المؤتمر	الْمُؤْتَمَرِ	الْمُؤْتَمَرِ	
بحفل	بِحَفْلٍ	بِحَفْلٍ	
ترحيبي	تَرْحِيبِيٍّ	تَرْحِيبِيٍّ	
أقيم	أُقِيمَ	أُقِيمَ	
في	فِي	فِي	
مركز	مَرْكَزِ	مَرْكَزِ	
التجارة	التِّجَارَةِ	التِّجَارَةِ	
العالمي	الْعَالَمِيِّ	الْعَالَمِيِّ	
بهونغ	بِهُونْغْ	بِهُونْغْ	
كونغ	كُونْغْ	كُونْغْ	
،	،	،	
وهو	وَهُوَ	وَهُوَ	
أعلى	أَعْلَى	أَعْلَى	
مبنى	مَبْنًى	مَبْنًى	
في	فِي	فِي	
المدينة	الْمَدِينَةِ	الْمَدِينَةِ	
وخامس	وَخَامِسُ	وَخَامِسُ	
أعلى	أَعْلَى	أَعْلَى	
بناء	بِنَاءٍ	بِنَاءٍ	
بالعالم	بِالْعَالَمِ	بِالْعَالَمِ	
،	،	،	
وألقى	وَأَلْقَى	وَأَلْقَى	
كلمة	كَلِمَةً	كَلِمَةً	
قصيرة	قَصِيرَةً	قَصِيرَةً	
رحب	رَحَّبَ	رَحَّبَ	
فيها	فِيهَا	فِيهَا	
بالحضور	بِالْحُضُورِ	بِالْحُضُورِ	
.	.	.	
			
وجاء	وَجَاءَ	وَجَاءَ	
الافتتاح	الِافْتِتَاحُ	الِافْتِتَاحُ	
الرسمي	الرَّسْمِيُّ	الرَّسْمِيُّ	
للمؤتمر	لِلْمُؤْتَمَرِ	لِلْمُؤْتَمَرِ	
في	فِي	فِي	
يوم	يَوْمِ	يَوْمِ	
الجمعة	الْجُمْعَةِ	الْجُمْعَةِ	
،	،	،	
ثاني	ثَانِي	ثَانِي	
أيام	أَيَّامِ	أَيَّامِ	
العيد	الْعِيدِ	الْعِيدِ	
،	،	،	
حيث	حَيْثُ	حَيْثُ	
ألقى	أَلْقَى	أَلْقَى	
دانييل	دَانْيِيلْ	دَانْيِيلْ	دَانِيِيلْ
لاي	لَايْ	لَايْ	
،	،	،	
رئيس	رَئِيسُ	رَئِيسُ	
قسم	قِسْمِ	قِسْمِ	
المعلومات	الْمَعْلُومَاتِ	الْمَعْلُومَاتِ	
في	فِي	فِي	
حكومة	حُكُومَةِ	حُكُومَةِ	
هونغ	هُونْغْ	هُونْغْ	
كونغ	كُونْغْ	كُونْغْ	
،	،	،	
كلمة	كَلِمَةً	كَلِمَةً	
افتتاحية	افْتِتَاحِيَّةً	افْتِتَاحِيَّةً	
تحدث	تَحَدَّثَ	تَحَدَّثَ	
فيها	فِيهَا	فِيهَا	
عن	عَنْ	عَنِ	
استضافة	اسْتِضَافَةِ	اسْتِضَافَةِ	
المدينة	الْمَدِينَةِ	الْمَدِينَةِ	
للحدث	لِلْحَدَثِ	لِلْحَدَثِ	
،	،	،	
أعقبتها	أَعْقَبَتْهَا	أَعْقَبَتْهَا	
محاضرة	مُحَاضَرَةٌ	مُحَاضَرَةٌ	
للبروفيسور	لِلْبِرُوفِيسُورْ	لِلْبِرُوفِيسُورْ	لِلْبْرُوفِيسُورْ
ماكوتو	مَاكُوتُو	مَاكُوتُو	
أوماكوتو	أُومَاكُوتُو	أُومَاكُوتُو	
عن	عَنْ	عَنْ	
مشروع	مَشْرُوعِ	مَشْرُوعِ	
"	"	"	
saveMLAK	saveMLAK	saveMLAK	
"	"	"	
في	فِي	فِي	
اليابان	الْيَابَانِ	الْيَابَانِ	
،	،	،	
وأخيرا	وَأَخِيرًا	وَأَخِيرًا	
كلمة	كَلِمَةُ	كَلِمَةُ	
جيمي	جِيمِي	جِيمِي	
ويلز	وِيلْزْ	وِيلْزْ	
،	،	،	
التي	الَّتِي	اَلَّتِي	
ذكر	ذَكَرَ	ذَكَرَ	
فيها	فِيهَا	فِيهَا	
عددا	عَدَدًا	عَدَدًا	
من	مِنْ	مِنَ	
التطورات	التَّطَوُّرَاتِ	التَّطَوُّرَاتِ	
والإنجازات	وَالْإِنْجَازَاتِ	وَالْإِنْجَازَاتِ	
الهامة	الْهَامَّةِ	الْهَامَّةِ	
التي	الَّتِي	الَّتِي	
شهدتها	شَهِدَتْهَا	شَهِدَتْهَا	
الحركة	الْحَرَكَةُ	الْحَرَكَةُ	
خلال	خِلَالَ	خِلَالَ	
العام	الْعَامِ	الْعَامِ	
الماضي	الْمَاضِي	الْمَاضِي	
،	،	،	
بينها	بَيْنَهَا	بَيْنَهَا	
تجاوز	تَجَاوُزُ	تَجَاوُزُ	
أربع	أَرْبَعِ	أَرْبَعِ	
نسخ	نُسَخٍ	نُسَخٍ	
من	مِنْ	مِنْ	
ويكيبيديا	وِيكِيبِيدْيَا	وِيكِيبِيدْيَا	
حاجز	حَاجِزَ	حَاجِزَ	
المليون	الْمِلْيُونِ	الْمِلْيُونِ	
مقالة	مَقَالَةٍ	مَقَالَةٍ	
،	،	،	
وانتخاب	وَانْتِخَابُ	وَانْتِخَابُ	
مجلس	مَجْلِسِ	مَجْلِسِ	
أمناء	أُمَنَاءَ	أُمَنَاءَ	
جديد	جَدِيدٍ	جَدِيدٍ	
لمؤسسة	لِمُؤَسَّسَةِ	لِمُؤَسَّسَةِ	
ويكيميديا	وِيكِيمِيدْيَا	وِيكِيمِيدْيَا	
،	،	،	
وانتقال	وَانْتِقَالُ	وَانْتِقَالُ	
مشاريع	مَشَارِيعِ	مَشَارِيعِ	
ويكيميديا	وِيكِيمِيدْيَا	وِيكِيمِيدْيَا	
من	مِنْ	مِنِ	
امتداد	امْتِدَادِ	امْتِدَادِ	
HTTP	HTTP	HTTP	
إلى	إِلَى	إِلَى	
HTTPS	HTTPS	HTTPS	
.	.	.	
كذلك	كَذَلِكَ	كَذَٰلِكَ	
،	،	،	
تحدث	تَحَدَّثَ	تَحَدَّثَ	
جيمي	جِيمِي	جِيمِي	
ويلز	وِيلْزْ	وِيلْزْ	
عن	عَنْ	عَنْ	
مشروع	مَشْرُوعٍ	مَشْرُوعٍ	
جديد	جَدِيدٍ	جَدِيدٍ	
ينوي	يَنْوِي	يَنْوِي	
إطلاقه	إِطْلَاقَهُ	إِطْلَاقَهُ	
لتشكيل	لِتَشْكِيلِ	لِتَشْكِيلِ	
وكالة	وَكَالَةِ	وَكَالَةِ	
أنباء	أَنْبَاءٍ	أَنْبَاءٍ	
للإعلام	لِلْإِعْلَامِ	لِلْإِعْلَامِ	
البديل	الْبَدِيلِ	الْبَدِيلِ	
والحر	وَالْحُرِّ	وَالْحُرِّ	
،	،	،	
ودعا	وَدَعَا	وَدَعَا	
حضور	حُضُورَ	حُضُورَ	
المؤتمر	الْمُؤْتَمَرِ	الْمُؤْتَمَرِ	
من	مِنْ	مِنَ	
المهتمين	الْمُهْتَمِّينَ	الْمُهْتَمِّينَ	
إلى	إِلَى	إِلَى	
مناقشة	مُنَاقَشَةِ	مُنَاقَشَةِ	
وتطوير	وَتَطْوِيرِ	وَتَطْوِيرِ	
الفكرة	الْفِكْرَةِ	الْفِكْرَةِ	
معه	مَعَهُ	مَعَهُ	
.	.	.	
			
وقد	وَقَدْ	وَقَدِ	
انطلقت	انْطَلَقَتْ	انْطَلَقَتْ	
أنشطة	أَنْشِطَةُ	أَنْشِطَةُ	
المؤتمر	الْمُؤْتَمَرِ	الْمُؤْتَمَرِ	
الرسمية	الرَّسْمِيَّةُ	الرَّسْمِيَّةُ	
بعد	بَعْدَ	بَعْدَ	
انتهاء	انْتِهَاءِ	انْتِهَاءِ	
الافتتاح	الِافْتِتَاحِ	الِافْتِتَاحِ	
،	،	،	
حيث	حَيْثُ	حَيْثُ	
بدأت	بَدَأَتْ	بَدَأَتِ	
المحاضرات	الْمُحَاضَرَاتُ	الْمُحَاضَرَاتُ	
والمناقشات	وَالْمُنَاقَشَاتُ	وَالْمُنَاقَشَاتُ	
وورشات	وَوَرْشَاتُ	وَوَرْشَاتُ	
العمل	الْعَمَلِ	الْعَمَلِ	
عن	عَنْ	عَنْ	
مختلف	مُخْتَلِفِ	مُخْتَلِفِ	
المواضيع	الْمَوَاضِيعِ	الْمَوَاضِيعِ	
المتعلقة	الْمُتَعَلِّقَةِ	الْمُتَعَلِّقَةِ	
بمشاريع	بِمَشَارِيعِ	بِمَشَارِيعِ	
ويكيميديا	وِيكِيمِيدْيَا	وِيكِيمِيدْيَا	
وتطويرها	وَتَطْوِيرِهَا	وَتَطْوِيرِهَا	
وتحسينها	وَتَحْسِينِهَا	وَتَحْسِينِهَا	
.	.	.	
تناول	تَنَاوَلَ	تَنَاوَلَ	
إينار	إِينَارْ	إِينَارْ	
سبيتز	سْبِيتْزْ	سْبِيتْزْ	
وتيمو	وَتِيمُو	وَتِيمُو	
لينونيون	لِينُونْيُونْ	لِينُونْيُونْ	
في	فِي	فِي	
محاضرة	مُحَاضَرَةٍ	مُحَاضَرَةٍ	
مشتركة	مُشْتَرَكَةٍ	مُشْتَرَكَةٍ	
تفاصيل	تَفَاصِيلَ	تَفَاصِيلَ	
استفتاء	اسْتِفْتَاءٍ	اسْتِفْتَاءٍ	
عام	عَامٍّ	عَامٍّ	
أجرياه	أَجْرَيَاهُ	أَجْرَيَاهُ	
لأعضاء	لِأَعْضَاءِ	لِأَعْضَاءِ	
البرلمان	الْبَرْلَمَانِ	الْبَرْلَمَانِ	
السويدي	السُّوِيدِيِّ	السُّوِيدِيِّ	
،	،	،	
ليتعرفا	لِيَتَعَرَّفَا	لِيَتَعَرَّفَا	
على	عَلَى	عَلَى	
طريقة	طَرِيقَةِ	طَرِيقَةِ	
نظر	نَظَرِ	نَظَرِ	
واستعمال	وَاسْتِعْمَالِ	وَاسْتِعْمَالِ	
أعضاء	أَعْضَاءِ	أَعْضَاءِ	
البرلمان	الْبَرْلَمَانِ	الْبَرْلَمَانِ	
لموسوعة	لِمَوْسُوعَةِ	لِمَوْسُوعَةِ	
ويكيبيديا	وِيكِيبِيدْيَا	وِيكِيبِيدْيَا	
،	،	،	
ولمفاجأتهما	وَلِمُفَاجَأَتِهِمَا	وَلِمُفَاجَأَتِهِمَا	
،	،	،	
تبين	تَبَيَّنَ	تَبَيَّنَ	
أن	أَنَّ	أَنَّ	
معظم	مُعْظَمَ	مُعْظَمَ	
أعضاء	أَعْضَاءِ	أَعْضَاءِ	
البرلمان	الْبَرْلَمَانِ	الْبَرْلَمَانِ	
بالواقع	بِالْوَاقِعِ	بِالْوَاقِعِ	
يستعملون	يَسْتَعْمِلُونَ	يَسْتَعْمِلُونَ	
ويكيبيديا	وِيكِيبِيدْيَا	وِيكِيبِيدْيَا	
دوريا	دَوْرِيًّا	دَوْرِيًّا	
ويؤمنون	وَيُؤْمِنُونَ	وَيُؤْمِنُونَ	
بوثوقيتها	بِوُثُوقِيَّتِهَا	بِوُثُوقِيَّتِهَا	
ودقتها	وَدِقَّتِهَا	وَدِقَّتِهَا	
العلمية	الْعِلْمِيَّةِ	الْعِلْمِيَّةِ	
،	،	،	
بل	بَلْ	بَلْ	
وإن	وَإِنَّ	وَإِنَّ	
عددا	عَدَدًا	عَدَدًا	
منهم	مِنْهُمْ	مِنْهُمْ	
قد	قَدْ	قَدْ	
سبق	سَبَقَ	سَبَقَ	
وأن	وَأَنْ	وَأَنْ	
عدل	عَدَّلَ	عَدَّلَ	
مقالاتها	مَقَالَاتِهَا	مَقَالَاتِهَا	
.	.	.	
كما	كَمَا	كَمَا	
تحدث	تَحَدَّثَ	تَحَدَّثَ	
بنيامين	بِنْيَامِينْ	بِنْيَامِينْ	
ماكو	مَاكُو	مَاكُو	
هل	هِلْ	هِلْ	
في	فِي	فِي	
محاضرة	مُحَاضَرَةٍ	مُحَاضَرَةٍ	
أخرى	أُخْرَى	أُخْرَى	
عن	عَنْ	عَنْ	
تقدم	تَقَدُّمِ	تَقَدُّمِ	
البحوث	الْبُحُوثِ	الْبُحُوثِ	
العلمية	الْعِلْمِيَّةِ	الْعِلْمِيَّةِ	
المتعلقة	الْمُتَعَلِّقَةِ	الْمُتَعَلِّقَةِ	
بويكيبيديا	بِوِيكِيبِيدْيَا	بِوِيكِيبِيدْيَا	
بين	بَيْنَ	بَيْنَ	
عامي	عَامَيْ	عَامَيْ	
2012	2012	2012	
و	وَ	وَ	
2013	2013	2013	
،	،	،	
وتناول	وَتَنَاوَلَ	وَتَنَاوَلَ	
عينات	عَيِّنَاتٍ	عَيِّنَاتٍ	
من	مِنْ	مِنْ	
أفضل	أَفْضَلِ	أَفْضَلِ	
وأشمل	وَأَشْمَلِ	وَأَشْمَلِ	
البحوث	الْبُحُوثِ	الْبُحُوثِ	
التي	الَّتِي	الَّتِي	
فحصها	فَحَصَهَا	فَحَصَهَا	
ودققها	وَدَقَّقَهَا	وَدَقَّقَهَا	
،	،	،	
حيث	حَيْثُ	حَيْثُ	
كان	كَانَ	كَانَ	
بينها	بَيْنَهَا	بَيْنَهَا	
بحث	بَحْثٌ	بَحْثٌ	
يحلل	يُحَلِّلُ	يُحَلِّلُ	
الطبيعة	الطَّبِيعَةَ	الطَّبِيعَةَ	
الموسوعية	الْمَوْسُوعِيَّةَ	الْمَوْسُوعِيَّةَ	
لويكيبيديا	لِوِيكِيبِيدْيَا	لِوِيكِيبِيدْيَا	
،	،	،	
وآخر	وَآخَرُ	وَآخَرُ	
يتناول	يَتَنَاوَلُ	يَتَنَاوَلُ	
مشروع	مَشْرُوعَ	مَشْرُوعَ	
ويكاموس	وِيكَامُوسْ	وِيكَامُوسْ	
الشقيق	الشَّقِيقَ	الشَّقِيقَ	
،	،	،	
إضافة	إِضَافَةً	إِضَافَةً	
إلى	إِلَى	إِلَى	
أربعة	أَرْبَعَةِ	أَرْبَعَةِ	
بحوث	بُحُوثٍ	بُحُوثٍ	
أخرى	أُخْرَى	أُخْرَى	
.	.	.	
وكانت	وَكَانَتْ	وَكَانَتْ	
هناك	هُنَاكَ	هُنَاكَ	
محاضرات	مُحَاضَرَاتٌ	مُحَاضَرَاتٌ	
وورشات	وَوَرْشَاتٌ	وَوَرْشَاتٌ	
عديدة	عَدِيدَةٌ	عَدِيدَةٌ	
أخرى	أُخْرَى	أُخْرَى	
،	،	،	
تناولت	تَنَاوَلَتْ	تَنَاوَلَتِ	
العديد	الْعَدِيدَ	الْعَدِيدَ	
من	مِنْ	مِنَ	
المشاريع	الْمَشَارِيعِ	الْمَشَارِيعِ	
والمواضيع	وَالْمَوَاضِيعِ	وَالْمَوَاضِيعِ	
المتنوعة	الْمُتَنَوِّعَةِ	الْمُتَنَوِّعَةِ	
،	،	،	
مثل	مِثْلَ	مِثْلَ	
مسابقة	مُسَابَقَةِ	مُسَابَقَةِ	
الويكي	الْوِيكِي	الْوِيكِي	
تهوى	تَهْوَى	تَهْوَى	
المعالم	الْمَعَالِمَ	الْمَعَالِمَ	
ومشروع	وَمَشْرُوعِ	وَمَشْرُوعِ	
GLAM	GLAM	GLAM	
(	(	(	
للتعاون	لِلتَّعَاوُنِ	لِلتَّعَاوُنِ	
بين	بَيْنَ	بَيْنَ	
ويكيبيديا	وِيكِيبِيدْيَا	وِيكِيبِيدْيَا	
والمتاحف	وَالْمَتَاحِفِ	وَالْمَتَاحِفِ	
